7zip 26.00-1
tldr 3.4.4-1
tree 2.3.1-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.1-1
udunits 2.2.28-5
units 2.25-2
unrar 1:7.2.4-1
unzip 6.0-23
upower 1.91.1-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vlc 3.0.21-32
waybar 0.15.0-1
wayland-protocols 1.47-1
weka 3.8.6-2
welcome 26-1
wget 1.25.0-3
which 2.23-1
whois 5.6.5-1
wireless-regdb 2025.10.07-1
wireplumber 0.5.13-1
wl-clipboard 1:2.2.1-3
wlr-randr 0.5.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
xarchiver 0.5.4.26-1
xbindkeys 1.8.7-5
xdg-desktop-portal-hyprland 1.3.11-3
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xed 3.8.9-1
xf86-input-libinput 1.5.0-1
xfce4-power-manager 4.20.0-3
xfce4-terminal 1.1.5-2
xfsprogs 6.18.0-1
xl2tpd 1.3.19-1
xorg-server 21.1.21-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.7-1
xorg-xrandr 1.5.3-1
xss-lock 0.4.0-1
xterm 406-1
yay 12.5.7-1
yazi 26.1.22-1
zip 3.0-11
